Class_0_Probability,Class_1_Probability,Class_2_Probability,Class_3_Probability,Class_4_Probability,Class_5_Probability,Class_6_Probability,Class_7_Probability,Class_8_Probability,Class_9_Probability,True Label
0.015512788,0.015512788,0.015512788,0.86038494,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,3
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,0.015512788,8
0.029346764,0.027834184,0.024608215,0.02460779,0.024609184,0.024608461,0.024607763,0.032384224,0.7625875,0.024805902,8
0.8601598,0.015534892,0.015534892,0.015534892,0.0155349,0.015534892,0.015534892,0.015534892,0.015561086,0.015534907,0
0.018312091,0.018312091,0.02118522,0.018317657,0.019328853,0.01831598,0.8312919,0.018312091,0.018312091,0.018312091,6
0.015512805,0.015512805,0.015512805,0.015512805,0.015512805,0.015512829,0.8603847,0.015512805,0.015512805,0.015512805,6
0.015512788,0.86038494,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,1
0.015649233,0.015649233,0.015649233,0.015649233,0.015812445,0.015649233,0.8589937,0.015649233,0.015649233,0.015649233,6
0.016832387,0.016832383,0.016833916,0.84678406,0.016833162,0.018550029,0.01683253,0.016836774,0.016832383,0.016832383,3
0.015587883,0.85961956,0.015587883,0.015587883,0.015587883,0.015587883,0.015587883,0.015587883,0.015587883,0.015677297,1
0.84735614,0.016781991,0.016781991,0.017255992,0.016784895,0.017046656,0.017644519,0.016781991,0.016783772,0.016782029,0
0.015513019,0.015513292,0.015513019,0.015513019,0.015513019,0.015513019,0.015513019,0.015513019,0.015513019,0.86038256,9
0.015538765,0.015538765,0.015539045,0.015538765,0.015569292,0.8601203,0.015538765,0.015538765,0.015538765,0.015538765,5
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,0.015512788,0.015512788,7
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,9
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,0.015512788,8
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,0.015512788,0.015512788,0.015512788,0.015512788,5
0.030765645,0.074278325,0.030408263,0.030408299,0.030408263,0.030421615,0.030409561,0.6820835,0.030408243,0.030408248,7
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,0.015512788,8
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,0.015512788,0.015512788,0.015512788,6
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,0.015512788,0.015512788,7
0.86038494,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0
0.015553727,0.015553513,0.015601654,0.015553513,0.85997,0.015553513,0.015553513,0.015553513,0.015553513,0.015553513,4
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,9
0.0155139435,0.0155139435,0.015515318,0.0155139435,0.86037314,0.0155139435,0.0155139435,0.0155139435,0.0155139435,0.0155139435,5
0.01551377,0.015513237,0.86038035,0.015513237,0.015513237,0.015513237,0.015513237,0.015513237,0.015513237,0.015513237,2
0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,4
0.86034995,0.015516225,0.015516225,0.015516225,0.015520296,0.015516225,0.015516225,0.015516225,0.015516225,0.015516225,0
0.015512825,0.015512869,0.015512825,0.015512825,0.015512825,0.015512825,0.015512825,0.015512825,0.015512825,0.8603845,9
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,0.015512788,0.015512788,0.015512788,6
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,0.015512788,0.015512788,0.015512788,6
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,0.015512788,0.015512788,0.015512788,0.015512788,5
0.015514032,0.015514032,0.015514032,0.015514032,0.86037225,0.015514032,0.015514032,0.015514032,0.015515503,0.015514032,4
0.015512919,0.015512919,0.015513075,0.015512919,0.015512919,0.8603836,0.015512919,0.015512919,0.015512919,0.015512919,5
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,9
0.015594683,0.015615689,0.01562719,0.85955054,0.015598588,0.015594713,0.015598796,0.015594683,0.015594683,0.015630461,2
0.015526604,0.015526604,0.015526604,0.015526604,0.8602442,0.015526604,0.015526604,0.015542975,0.015526604,0.015526604,4
0.015512788,0.86038494,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,1
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,9
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,0.015512788,0.015512788,0.015512788,0.015512788,5
0.015667098,0.01558327,0.01558327,0.01558327,0.8596668,0.01558327,0.01558327,0.015583323,0.01558327,0.01558327,4
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,0.015512788,0.015512788,0.015512788,6
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,0.015512788,0.015512788,0.015512788,0.015512788,5
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,0.015512788,0.015512788,0.015512788,6
0.860384,0.015512881,0.015512881,0.015512881,0.015512985,0.015512881,0.015512881,0.015512881,0.015512889,0.015512881,0
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,9
0.01551438,0.01551438,0.015516252,0.86036867,0.01551438,0.015514395,0.01551438,0.01551438,0.01551438,0.01551438,3
0.015526465,0.015526541,0.015526465,0.015526976,0.015526465,0.015527199,0.015526465,0.015526465,0.015541346,0.8602456,9
0.015512794,0.015512794,0.015512794,0.015512794,0.015512801,0.015512794,0.015512794,0.8603849,0.015512794,0.015512794,7
0.015603523,0.015603523,0.015610929,0.015603523,0.015704097,0.015603657,0.8594602,0.015603523,0.015603523,0.015603523,6
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,9
0.015600403,0.015598797,0.015598648,0.015613292,0.015598648,0.0155987805,0.015684038,0.015598648,0.85951,0.0155987805,8
0.017436378,0.019944858,0.017502684,0.01743653,0.017436378,0.017436378,0.84046096,0.017445803,0.017436378,0.017463703,0
0.016481962,0.016481962,0.016481962,0.85042775,0.016481962,0.016482692,0.016482564,0.01771529,0.016481962,0.016481962,3
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,0.015512788,8
0.015512841,0.01551281,0.01551281,0.01551281,0.01551281,0.01551281,0.01551281,0.01551281,0.8603846,0.01551281,8
0.015512794,0.015512794,0.015512794,0.015512801,0.015512794,0.015512794,0.015512794,0.8603849,0.015512794,0.015512794,7
0.016825505,0.016820243,0.016820243,0.01850254,0.016820783,0.016820243,0.016837604,0.8469124,0.016820243,0.016820243,7
0.019508056,0.019508043,0.019508433,0.81826276,0.019508258,0.025267838,0.019674214,0.019745015,0.019509275,0.019508084,4
0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,6
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,0.015512788,0.015512788,7
0.015512794,0.015512794,0.015512794,0.8603849,0.015512794,0.015512794,0.015512794,0.015512801,0.015512794,0.015512794,3
0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.015512788,0.86038494,0.015512788,0.015512788,0.015512788,6
